Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,img
1,bad guy,Billie Eilish,electropop,2019,0.540540541,0.333333333,0.7,0.818181818,0.088607595,56,0.248322148,0.392857143,0.813953488,94,https://i.scdn.co/image/2622edec99d68d1d141886be593c88cbe509f6d8
2,7 rings,Ariana Grande,dance pop,2019,0.585585586,0.192307692,0.814285714,0.818181818,0.075949367,33,0.147651007,0.702380952,0.697674419,90,https://i.scdn.co/image/b1dfbe843b0b9f54ab2e588f33e7637d2dab065a
3,Old Town Road - Remix,Lil Nas X,country rap,2019,0.54954955,0.576923077,0.957142857,0.363636364,0.101265823,64,0,0.05952381,0.162790698,89,https://i.scdn.co/image/12d5ab979779aa41e697ce823328d527e643e4cf
4,Se̱orita,Shawn Mendes,canadian pop,2019,0.378378378,0.487179487,0.785714286,0.363636364,0.063291139,75,0.228187919,0.047619048,0,88,https://i.scdn.co/image/6bd59cfbd3e1e6394af710bddcd62999aae31c6f
5,rockstar (feat. 21 Savage),Post Malone,dfw rap,2018,0.765765766,0.448717949,0.542857143,0.363636364,0.126582278,13,0.409395973,0.142857143,0.093023256,88,https://i.scdn.co/image/93fec27f9aac86526b9010e882037afbda4e3d5f
6,SAD!,XXXTENTACION,emo rap,2018,0,0.564102564,0.757142857,0.272727273,0.113924051,47,0.067114094,0.30952381,0.255813953,87,https://i.scdn.co/image/942afa81f0a2298ead0c154fb7b4b606de48d9e6
7,Sunflower,Post Malone,dfw rap,2019,0.135135135,0.448717949,0.785714286,0.181818182,0.050632911,93,0.006711409,0.630952381,0.069767442,86,https://i.scdn.co/image/2622edec99d68d1d141886be593c88cbe509f6d8
8,God's Plan,Drake,canadian hip hop,2018,0.018018018,0.358974359,0.771428571,0.636363636,0.658227848,36,0.281879195,0.035714286,0.186046512,85,https://i.scdn.co/image/012ecd119617ac24ab56620ace4b81735b172686
9,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,0.441441441,0.884615385,0.828571429,0.090909091,0.063291139,59,0.389261745,0.047619048,0.186046512,85,https://i.scdn.co/image/1fd90cd274102d458ec3a9243ced32e659738133
10,Thunder,Imagine Dragons,modern rock,2017,0.837837838,0.833333333,0.571428571,0.272727273,0.151898734,29,0.201342282,0.011904762,0.023255814,85,https://i.scdn.co/image/01b36ca0f45f2f15117022a2754287a6ca1acdcc
11,I Fall Apart,Post Malone,dfw rap,2016,0.621621622,0.474358974,0.5,0.272727273,0.215189873,29,0.44295302,0.083333333,0.023255814,84,https://i.scdn.co/image/93fec27f9aac86526b9010e882037afbda4e3d5f
